Start Time,End Time,Subtitle
00:21:20:02,00:21:22:19,Britain's next and then the rest of the world.
00:21:22:23,00:21:24:01,Christ.
00:21:24:20,00:21:27:09,"I mean, you can practically see it from here."
00:21:27:13,00:21:28:16,What?
00:21:29:14,00:21:30:20,Home.
00:21:31:22,00:21:33:13,What about the French?
00:21:33:17,00:21:36:01,"Publicly, Churchill's told them, ""Bras dessous."""
00:21:36:05,00:21:38:05,"Arm in arm, leaving together."
00:21:38:10,00:21:39:15,And privately?
00:21:39:19,00:21:41:07,We need our army back.
00:21:41:21,00:21:43:22,"How many men are they talking about, sir?"
00:21:44:22,00:21:48:10,"Churchill wants 30,000. Ramsay's hoping we can give him 45."
00:21:50:00,00:21:52:06,"There are 400,000 men on this beach, sir."
00:21:53:06,00:21:55:09,We'll just have to do our best.
00:21:56:13,00:21:59:02,"Right, well, this mole stays open at all costs."
00:22:00:07,00:22:04:06,"We're in artillery range from the west. If anything else sinks here,"
00:22:04:10,00:22:06:10,the mole's blocked and we're stuffed.
00:22:06:14,00:22:08:03,Can't we load from the beaches?
00:22:08:07,00:22:09:23,Better than standing out here when the dive bombs come.
00:22:09:24,00:22:11:09,- It's impossible. - Too shallow?
00:22:11:13,00:22:13:13,'Cause anything that drafts over three feet can't get near.
00:22:13:14,00:22:16:16,We don't have enough small boats to ferry men to the destroyers.
00:22:17:05,00:22:20:02,"The mole it is, then, gentlemen."
00:23:09:13,00:23:10:14,Hey!
00:23:11:13,00:23:13:17,Hey! Can you swim it?
00:23:15:18,00:23:16:22,"Dad, can you get closer?"
00:23:17:17,00:23:19:04,Can't risk it!
00:23:20:18,00:23:21:18,Hang on.
00:24:11:08,00:24:12:14,What's your name?
00:24:31:20,00:24:33:02,Wreckage below.
00:24:34:07,00:24:36:01,Is it more of the 109?
00:24:36:05,00:24:37:09,No.
00:24:37:16,00:24:39:08,It's Fortis Leader. Over.
00:24:40:21,00:24:41:21,You think he got out?
00:24:42:02,00:24:43:02,I didn't see a 'chute.
00:24:44:21,00:24:46:20,Record his position.
00:24:46:24,00:24:49:05,"Then set heading 128,"
00:24:49:09,00:24:51:06,"height 1,000. Over."
00:24:51:10,00:24:53:12,"Vector 128, angels one. Understood."
00:24:59:13,00:25:00:21,"Fortis 2, what's your fuel?"
00:25:02:06,00:25:03:09,50 gallons. Over.
00:25:03:21,00:25:06:05,50 gallons.
00:25:09:20,00:25:11:18,"All right, keep letting me know."
00:25:11:22,00:25:13:17,My gauge took a bit of a knock back there.
00:25:15:07,00:25:16:19,Shouldn't you turn back?
00:25:16:23,00:25:18:11,"No, no."
00:25:19:02,00:25:21:11,I'm fairly confident it's just the gauge.
00:26:50:17,00:26:52:18,- She's going down! - Cut her loose!
00:26:52:22,00:26:53:24,What about the wounded?
00:26:55:07,00:26:57:16,Abandon ship! Abandon ship!
00:27:00:01,00:27:01:12,"Cut her loose, and push her off!"
00:27:01:16,00:27:03:10,We can't let her sink at the mole!
00:27:04:03,00:27:05:23,Push the bloody boat off!
00:27:13:10,00:27:14:10,Help us!
00:28:27:18,00:28:29:15,Do you want to come below?
00:28:29:19,00:28:31:17,It's much warmer.
00:28:32:15,00:28:33:19,It's out of the wind.
00:28:33:23,00:28:35:09,Here you go.
00:28:38:02,00:28:39:16,"Leave him be, George."
00:28:39:20,00:28:41:16,He feels safer on deck.
00:28:42:14,00:28:44:06,You would too if you'd been bombed.
00:28:44:10,00:28:45:10,U-boat.
00:28:47:18,00:28:49:22,It was a U-boat.
00:28:53:21,00:28:55:04,"Get him some more tea, George."
00:29:10:04,00:29:12:11,"Right, we're about five minutes out,"
00:29:12:15,00:29:14:07,"so climb to 2,000. Over."
00:29:14:11,00:29:15:14,That's more fuel.
00:29:15:18,00:29:17:11,"I know, but I don't want to get jumped again."
