Start Time,End Time,Subtitle
00:10:00:01,00:10:03:10,Why are you wasting your time trying to talk to a man...
00:10:03:13,00:10:08:07,...who threw away your investment on some save-the-world vanity project?
00:10:08:11,00:10:10:17,He can't get your money back. I can.
00:10:11:12,00:10:15:21,"I could try explaining that a save-the-world project, vain or not..."
00:10:16:01,00:10:18:11,"...is worth investing in, Mr. Daggett."
00:10:18:15,00:10:21:19,But you understand only money and the power you think it buys...
00:10:21:24,00:10:24:22,...so why waste my time indeed?
00:10:25:11,00:10:26:23,Second shift reports in?
00:10:27:03,00:10:29:05,You should spend more time with the mayor.
00:10:29:09,00:10:31:06,"Well, that's your department."
00:10:32:06,00:10:34:01,Anyone shown him the crime stats?
00:10:34:05,00:10:37:12,"He goes by his gut and it bothers him, no matter what the numbers."
00:10:37:16,00:10:41:13,#NAME?
00:10:41:17,00:10:45:23,He'll have plenty of time for visits. The mayor's gonna dump him in the spring.
00:10:46:02,00:10:47:16,#NAME?
00:10:47:20,00:10:51:17,- But he's a hero. - A war hero. This is peacetime.
00:11:20:11,00:11:21:12,
00:11:21:20,00:11:25:05,"Oh, sorry, sorry. I'm so terribly sorry, Mr. Wayne."
00:11:27:16,00:11:29:09,"It is Mr. Wayne, isn't it?"
00:11:31:03,00:11:37:05,"Although you don't have the long nails or, heh, the facial scars, sir."
00:11:38:02,00:11:40:05,Is that what they say about me?
00:11:40:14,00:11:43:11,It's just that no one ever sees you.
00:11:43:23,00:11:47:20,That's a beautiful necklace. Reminds me of one that belonged to my mother.
00:11:47:24,00:11:51:02,It can't be the same one...
00:11:51:14,00:11:54:18,...because her pearls are in this safe...
00:11:56:01,00:11:59:02,...the manufacturer clearly explained...
00:12:01:21,00:12:03:15,...is uncrackable.
00:12:08:21,00:12:10:15,Oops.
00:12:10:19,00:12:12:24,Nobody told me it was uncrackable.
00:12:14:17,00:12:17:04,I'm afraid I can't let you take those.
00:12:17:19,00:12:21:07,"Look, you wouldn't beat up a woman any more than I would beat up a cripple."
00:12:22:20,00:12:26:04,"Of course, sometimes exceptions have to be made."
00:12:31:17,00:12:33:12,"Good night, Mr. Wayne."
00:12:48:16,00:12:50:01,Can I have a ride?
00:12:50:13,00:12:51:18,You read my mind.
00:12:52:13,00:12:54:02,Let's go.
00:12:55:02,00:12:56:21,Miss Tate was asking to see you again.
00:12:57:01,00:12:58:16,She's very persistent.
00:12:58:20,00:13:01:04,"And quite lovely, in case you were wondering."
00:13:01:08,00:13:03:12,- I wasn't. - What are you doing?
00:13:03:16,00:13:06:23,Examining print dust. We've been robbed.
00:13:07:03,00:13:10:02,"And this is your idea of, uh, sounding the alarm, is it?"
00:13:10:06,00:13:12:10,"She took the pearls, tracking device and all."
00:13:12:14,00:13:13:21,#NAME?
00:13:14:01,00:13:16:16,Perhaps you should stop letting them in this side of the house.
00:13:16:20,00:13:19:07,Perhaps you should start learning to make your own bed.
